start	type	end
4803	1	4914
4803	1	4915
627	1	4914
627	1	4915
4908	1	4914
4908	1	4915
4909	1	4914
4909	1	4915
1950	1	1956
2246	1	2260
2246	1	2261
2246	1	2263
2246	1	2264
2247	1	2260
2247	1	2261
2247	1	2263
2247	1	2264
2248	1	2260
2248	1	2261
2248	1	2263
2248	1	2264
2249	1	2260
2249	1	2261
2249	1	2263
2249	1	2264
2250	1	2260
2250	1	2261
2250	1	2263
2250	1	2264
2251	1	2260
2251	1	2261
2251	1	2263
2251	1	2264
2252	1	2260
2252	1	2261
2252	1	2263
2252	1	2264
2253	1	2260
2253	1	2261
2253	1	2263
2253	1	2264
2254	1	2260
2254	1	2261
2254	1	2263
2254	1	2264
2255	1	2260
2255	1	2261
2255	1	2263
2255	1	2264
2256	1	2260
2256	1	2261
2256	1	2263
2256	1	2264
2257	1	2260
2257	1	2261
2257	1	2263
2257	1	2264
2258	1	2260
2258	1	2261
2258	1	2263
2258	1	2264
2259	1	2260
2259	1	2261
2259	1	2263
2259	1	2264
26281	1	2260
26281	1	2261
26281	1	2263
26281	1	2264
26291	1	2260
26291	1	2261
26291	1	2263
26291	1	2264
27006	1	2260
27006	1	2261
27006	1	2263
27006	1	2264
8074	1	2260
8074	1	2261
8074	1	2263
8074	1	2264
8817	1	2260
8817	1	2261
8817	1	2263
8817	1	2264
8822	1	2260
8822	1	2261
8822	1	2263
8822	1	2264
8823	1	2260
8823	1	2261
8823	1	2263
8823	1	2264
9965	1	2260
9965	1	2261
9965	1	2263
9965	1	2264
5154	1	5156
5154	1	5159
5155	1	5156
5155	1	5159
2768	1	5922
55970	1	5922
9693	1	22800
9693	1	22808
9693	1	3265
9693	1	3845
9693	1	4893
9693	1	6237
5923	1	22800
5923	1	22808
5923	1	3265
5923	1	3845
5923	1	4893
5923	1	6237
5924	1	22800
5924	1	22808
5924	1	3265
5924	1	3845
5924	1	4893
5924	1	6237
10125	1	22800
10125	1	22808
10125	1	3265
10125	1	3845
10125	1	4893
10125	1	6237
10235	1	22800
10235	1	22808
10235	1	3265
10235	1	3845
10235	1	4893
10235	1	6237
115727	1	22800
115727	1	22808
115727	1	3265
115727	1	3845
115727	1	4893
115727	1	6237
25780	1	22800
25780	1	22808
25780	1	3265
25780	1	3845
25780	1	4893
25780	1	6237
5906	1	673
5908	1	673
7124	1	7132
3552	1	3554
3552	1	7850
3553	1	3554
3553	1	7850
356	1	355
7040	1	130399
7040	1	7046
7040	1	7048
7040	1	91
7042	1	130399
7042	1	7046
7042	1	7048
7042	1	91
7043	1	130399
7043	1	7046
7043	1	7048
7043	1	91
7132	1	836
7132	1	7186
3554	1	836
7850	1	836
355	1	1616
130399	1	1616
7046	1	1616
7048	1	1616
91	1	1616
6654	1	22800
6654	1	22808
6654	1	3265
6654	1	3845
6654	1	4893
6654	1	6237
6655	1	22800
6655	1	22808
6655	1	3265
6655	1	3845
6655	1	4893
6655	1	6237
22800	1	673
22808	1	673
3265	1	673
3845	1	673
4893	1	673
6237	1	673
22800	1	5894
22808	1	5894
3265	1	5894
3845	1	5894
4893	1	5894
6237	1	5894
22800	1	4342
22808	1	4342
3265	1	4342
3845	1	4342
4893	1	4342
6237	1	4342
5879	1	4214
5880	1	4214
5881	1	4214
998	1	4214
5879	1	5058
